url,size,access_time,return_code,page_score,domain_score,depth
https://www.topuniversities.com/universities/new-york-university-nyu/new-york-university-tandon-school-engineering,0,2026-09-20 20:06:41,403,1.000,3.000,0
https://engineering.nyu.edu/,116154,2026-09-20 20:06:41,200,1.000,3.000,0
https://en.wikipedia.org/wiki/NYU_Tandon_Digital_Learning,162032,2026-09-20 20:06:41,200,1.000,3.000,0
https://meet.nyu.edu/academics/meet-the-nyu-tandon-school-of-engineering/,0,2026-09-20 20:06:41,403,1.000,3.000,0
https://grokipedia.com/page/nyu_tandon_digital_learning,281771,2026-09-20 20:06:41,200,1.000,3.000,0
https://developer.wikimedia.org/,35395,2026-09-20 20:06:42,200,1.000,3.000,1
https://www.wikimedia.org/,49362,2026-09-20 20:06:42,200,1.000,3.000,1
https://stats.wikimedia.org/,2436,2026-09-20 20:06:42,200,1.000,3.000,1
http://www.nysed.gov/heds/irpsl1.html,0,2026-09-20 20:06:42,0,1.000,3.000,1
https://www.mediawiki.org/,87655,2026-09-20 20:06:42,200,1.000,3.000,1
https://library.nyu.edu/locations/bern-dibner-library/,32628,2026-09-20 20:06:42,200,1.000,1.893,1
http://bulletin.engineering.nyu.edu/preview_entity.php?catoid=15&ent_oid=1174&returnto=1249,0,2026-09-20 20:06:42,202,1.000,1.893,1
https://wikimediafoundation.org/,230283,2026-09-20 20:06:42,200,1.000,3.000,1
https://nyuad.nyu.edu/en/,71882,2026-09-20 20:06:42,200,1.000,1.893,1
https://bulletins.nyu.edu/,14029,2026-09-20 20:06:42,200,1.000,1.893,1
http://albert.nyu.edu/,8086,2026-09-20 20:06:42,200,1.000,1.893,1
https://bsky.app/profile/nyutandon.bsky.social,20982,2026-09-20 20:06:42,200,1.000,3.000,1
https://www.wikidata.org/,211091,2026-09-20 20:06:42,200,1.000,3.000,2
https://www.nyu.edu/,99311,2026-09-20 20:06:42,200,1.000,1.893,1
https://creativecommons.org/licenses/by-sa/4.0/,35744,2026-09-20 20:06:42,200,1.000,3.000,2
https://www.gnu.org/licenses/gpl-3.0.html,0,2026-09-20 20:06:42,403,1.000,3.000,2
https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=en.wikipedia.org&uselang=en,79002,2026-09-20 20:06:42,200,1.000,3.000,1
https://graduate.engineering.gwu.edu/nyu-tandon-bridge-program,66095,2026-09-20 20:06:42,200,1.000,3.000,1
https://www.instagram.com/nyutandon/?hl=en,626324,2026-09-20 20:06:42,200,1.000,3.000,0
https://www.tiktok.com/@nyu_tandon,371046,2026-09-20 20:06:42,200,1.000,3.000,1
https://accounts.x.ai/check-login?redirect=grokipedia-com&return_to=%2Fpage%2Fnyu_tandon_digital_learning,167311,2026-09-20 20:06:42,200,1.000,3.000,1
https://en.wikibooks.org/wiki/Main_Page,101795,2026-09-20 20:06:42,200,1.000,3.000,2
https://www.highereddive.com/news/nyu-school-of-engineering-launches-computer-science-bridge-program-for-libe/436046/,259329,2026-09-20 20:06:42,200,1.000,3.000,1
https://www.wikibooks.org/,67313,2026-09-20 20:06:42,200,1.000,3.000,2
https://engineeringnyu.university-tour.com/homepage,464010,2026-09-20 20:06:42,200,1.000,3.000,0
https://www.youtube.com/nyutandon,2072778,2026-09-20 20:06:42,200,1.000,3.000,0
https://en.wikiquote.org/wiki/Main_Page,153315,2026-09-20 20:06:42,200,1.000,3.000,2
https://en.wikinews.org/wiki/Main_Page,127146,2026-09-20 20:06:42,200,1.000,3.000,2
http://bit.ly/2BdleRB,89600,2026-09-20 20:06:42,200,1.000,3.000,2
https://en.wikiversity.org/wiki/Wikiversity:Main_Page,96294,2026-09-20 20:06:42,200,1.000,3.000,2
https://en.wikisource.org/wiki/Main_Page,119077,2026-09-20 20:06:42,200,1.000,3.000,2
https://en.wikivoyage.org/wiki/Main_Page,134633,2026-09-20 20:06:42,200,1.000,3.000,2
https://bsky.social/,63407,2026-09-20 20:06:42,200,1.000,3.000,2
http://online.engineering.nyu.edu/,82347,2026-09-20 20:06:42,200,1.000,1.893,1
http://eservices.nysed.gov/disted/searchInstitutionDetails.jsp,1177,2026-09-20 20:06:42,200,1.000,3.000,1
https://fontawesome.com/,21105,2026-09-20 20:06:42,200,1.000,3.000,3
https://en.wiktionary.org/wiki/Wiktionary:Main_Page,168284,2026-09-20 20:06:42,200,1.000,3.000,2
